input,target,prediction,target_length,levenshtein
O=C1[CH]OC(=C)[CH]1.N,[NH3+]CC1=CC([O-])=CO1,CC1=C(O)C(=CO)OC1=N,22,16
C=C1C=CC(=O)O1.N,[NH3+]CC1=CC=C([O-])O1,[NH3+]CC1=CC([O-])C(=O)O1,22,7
C=C1C=NC(=O)O1.N,[NH3+]CC1=CN=C([O-])O1,NC1=C(C[NH3+])C([O-])=C(=O)O1,22,17
CCC1=CN[C@H](O1)[NH],CCC1=CNC(=N)O1,CC1CC1=C(N)OC(=N)N1,14,6
CCC1=CO[C@H](N1)[NH],CCC1=COC(=N)N1,CC1CC1=C(N)OC(=N)N1,14,5
CCC1=CO[C@H](O1)[NH],CCC1=COC(=N)O1,CC1CC1C([NH2+]C1)C([O-])=O,14,18
CNC1=CN[C@@H](O1)[NH],CNC1=CNC(=N)O1,CN1C=NC(=N)OC1=N,14,6
CNC1=CO[C@@H](O1)[NH],CNC1=COC(=N)O1,N=C1NC(C=O)C1CO,14,9
COC1=CN[C@@H](O1)[NH],COC1=CNC(=N)O1,N=C1NC(C=O)C1CO,14,9
COC1=CO[C@H](N1)[NH],COC1=COC(=N)N1,N=C1NC(C=O)C1CO,14,9
COC1=CO[C@H](O1)[NH],COC1=COC(=N)O1,N=C1OC(O1)C=COC(=O)O1,14,8
[NH][C@@H]1NC=C(O1)CO,OCC1=CNC(=N)O1,N=C1NC(C=O)C1CO,14,9
[NH][C@@H]1NC(=CO1)CO,OCC1=COC(=N)N1,N=C1NC(C=O)C1CO,14,9
[NH][C@H]1OC(=CO1)CO,OCC1=COC(=N)O1,N=C1OC(O1)C=COC(=O)O1,14,9
NCC1=COC(=O)C1,[NH3+]CC1=COC([O-])=C1,NC1=C(OC=C(O)O1)CC=CC1,22,16
NCc1coc(=O)[nH]1,[NH3+]CC1=COC([O-])=N1,N=C1NC=C(O1)C=CO1,22,14
CC1=C([NH])OC=NC1,CC1=CN=COC1=N,N=C1N=C(C=C=O1)C=C1,13,11
[NH]C1=C(N)CC=CO1,NC1=CC=COC1=N,N=C1N=C(C=C=O1)C=C1,13,9
[NH]C1=C(N)CN=CO1,NC1=CN=COC1=N,N=C1N=C(C=N1)C=O,13,9
OC1=C([NH])OC=CC1,OC1=CC=COC1=N,N=C1OC=C(C=O)C=C1,13,10
OC1=C([NH])NC=NC1,OC1=CN=CNC1=N,N=C1N=C(C=N1)C=O,13,10
OC1=C([NH])OC=NC1,OC1=CN=COC1=N,N=C1N=C(OC=N1)C=O,13,10
[NH]C1=C(O)N=CCN1,OC1=NC=CNC1=N,N=C1N=C(C=N1)C=O,13,10
CC1=CNCN=C1[NH],CC1=CNC=NC1=N,N=C1N=CN=CN1C=CC1C2,13,10
CC1=C([NH])N=COC1,CC1=COC=NC1=N,N=C1N=C(C=C=O1)C=C1,13,11
[NH]C1=NCNC=C1N,NC1=CNC=NC1=N,N=C1NN=CNC=C1C=N,13,5
OC1=CNCN=C1[NH],OC1=CNC=NC1=N,N=C1N=CN=C(C=O1)C1,13,11
N[C]1C=CO[CH]C1=O,[O-]C1=COC=CC1=[NH2+],O=C1C=CC2OC=C1N2,21,12
CN1CN=CN=C1[NH],CN1C=NC=NC1=N,N=C1NN=CNC=C1C=N,13,8
CN1[C@H]([NH])OC=C1C,CN1C(=N)OC=C1C,CC1CC1=C(N)OC(=N)N1,14,10
CN1[C@H]([NH])OC=C1O,CN1C(=N)OC=C1O,N=C1NC(C=O)C1CO,14,9
NC(=N)c1ccco1,NC(=N)C1=CC=CO1,N=C1NC=C(C=N1)C(C=C1)O1,15,12
NC(=N)c1cnco1,NC(=N)C1=CN=CO1,NC1=NC(=N)C(N)=CN1,15,8
NC(=N)c1ncco1,NC(=N)C1=NC=CO1,NC1=NC(=N)C(N)=CN1,15,8
NC(=N)c1cocn1,NC(=N)C1=COC=N1,NC1=NC(=N)C(N)=CN1,15,9
C[N]C1=NCNC=C1,CN=C1C=CNC=N1,N=C1N=CN=CN1C2,13,6
C[N]C1=NCNC=N1,CN=C1N=CNC=N1,N=C1NN=CN=CN1C2,13,6
C[N]C1=NC=NCN1,CN=C1NC=NC=N1,N=C1NN=CN=CN1C2,13,7
C[N]C1=CCC=CO1,CN=C1OC=CC=C1,C1C2C=CC3C1OC=N2,13,10
[NH][C@@H]1NC=CN1C=O,N=C1NC=CN1C=O,N=C1N=CNC=C(C1)C=O,13,6
[NH][C@@H]1OC=CN1C=O,N=C1OC=CN1C=O,N=C1ON=C=C(O1)C=CO1,13,7
C=C1OC=CC1=O.N,[NH3+]CC1=C([O-])C=CO1,[O-]C(=O)C1CC=C[NH2+]C1,22,18
NCc1ccoc1O,[NH3+]CC1=C([O-])OC=C1,N=C1OC=C=C(O1)C=C1,22,11
O=C1OC=NC1=C.N,[NH3+]CC1=C([O-])OC=N1,NC1=C([NH3+])C([O-])=CNO1,22,13
NCc1cocc1O,[NH3+]CC1=COC=C1[O-],N=C1OC=C=C(O1)C=C1,20,14
CCN1C=CO[C@H]1[NH],CCN1C=COC1=N,CN1C=COC1=N,12,1
[NH][C@@H]1OC[C@@H]2N1CC2,N=C1OC=C2CCN12,N=C1NC2C3CC1C2C2,14,7
C[C@](C(=O)O)(C#C)N,CC([NH3+])(C#C)C([O-])=O,CC(C#C)([NH3+])(C)(C)([O-])=O,24,8
C[C@](C(=N)N)(C#N)O,CC(O)(C#N)C(N)=N,CC(N)(C#N)C(N)(N)(C)=O,16,8
C[C@](C(=O)O)(CN)N,CC(N)(C[NH3+])C([O-])=O,CC(C)(N)(C)([NH3+])C([O-])=O,23,5
OC[C@](C(=O)O)(N)C,CC([NH3+])(CO)C([O-])=O,CC([NH3+])(C(O)C([O-])=O)C(O,23,5
C[C@](C(=O)O)(CN)O,CC(O)(C[NH3+])C([O-])=O,CC([NH3+])(C(O)C([O-])=O)C(O,23,13
C[C@](C(=O)O)(CC)N,CCC(C)([NH3+])C([O-])=O,CC(C)(C)([NH3+])C(C)C([O-])=O,23,6
CNC(C(=O)O)(C)C,C[NH2+]C(C)(C)C([O-])=O,CC(C)(C)([NH3+])C(C)([O-])=O,23,13
OC(=O)CN=C(N)C,CC(N)=[NH+]CC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,21,13
OC(=O)CN=C(N)N,NC(N)=[NH+]CC([O-])=O,NC(=N)N(C(=O)CO)C(N)=O,21,13
OC(=O)CN=C(N)C,CC(=[NH2+])NCC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,22,13
NC(=N)CCC(=O)O,NC(=[NH2+])CCC([O-])=O,NC(=N)C(=O)CC(CO)C(N)=O,22,12
OC(=O)CN=C(N)N,NC(=[NH2+])NCC([O-])=O,NC(=N)N(C(=O)CO)C(N)=O,22,14
C[C@H](C#CC(=O)O)N,CC([NH3+])C#CC([O-])=O,CC([NH3+])C(C#C)C([O-])=O,22,3
CC(NCC(=O)O)C,CC(C)[NH2+]CC([O-])=O,CCC(C)([NH3+])CC([O-])=O,21,4
C[C@H](CCC(=O)O)N,CC([NH3+])CCC([O-])=O,CCC(C)C([NH3+])C([O-])=O,21,7
CN(CCC(=O)O)C,C[NH+](C)CCC([O-])=O,CCC(C)([NH3+])CC([O-])=O,20,10
NC(=N)NC(=O)C#C,NC(=N)NC(=O)C#C,NC(=N)C(=O)C#NC(N)C#N,15,8
NC(=N)NC(=O)C=O,NC(=N)NC(=O)C=O,NC(=N)NC(=O)C(=O)C(N)C=O,15,9
N[C@H](C#C)CC(=O)O,[NH3+]C(CC([O-])=O)C#C,CC([NH3+])C(C#C)C([O-])=O,22,11
CN1CC(=O)O[C@H]1N,CN(CC([O-])=O)C=[NH2+],NC1=C(OC(=N)N1CCC1)O,22,17
CNC(=[NH2])[CH2].O=C=O,C[NH+]=C(N)CC([O-])=O,NC(=[NH2+])CC([O-])=O,21,8
CCC(=O)NC(=N)N,CCC(=O)NC(N)=N,NC(=N)C(C)C(=O)CN1,14,11
CNC(=[NH2])[CH2].O=C=O,CNC(=[NH2+])CC([O-])=O,NC(=[NH2+])CC([O-])=O,22,1
COC(=O)NC(=N)N,COC(=O)NC(N)=N,NC(=N)N(C(=O)CO)C(N)=O,14,11
NC(=N)NC(=O)CO,NC(=N)NC(=O)CO,NC(=N)N(C(=O)CO)C(N)=O,14,8
C[C@@H](CN)CC(=O)O,CC(C[NH3+])CC([O-])=O,CCC([NH3+])C(C)C([O-])=O,21,5
CC[C@H](CC(=O)O)N,CCC([NH3+])CC([O-])=O,CCC(C)C([NH3+])C([O-])=O,21,5
CN(CC)CC(=O)O,CC[NH+](C)CC([O-])=O,CCC(C)([NH3+])CC([O-])=O,20,8
C[C@H](NC)CC(=O)O,C[NH2+]C(C)CC([O-])=O,CCC(C)C([NH3+])C([O-])=O,21,12
OC[C@@H](CC(=O)O)N,[NH3+]C(CO)CC([O-])=O,CC([NH3+])C(O)C([O-])=O,21,6
N[C@H](CN)CC(=O)O,NCC([NH3+])CC([O-])=O,CC(C)C([NH3+])C([O-])=O,21,5
NC[C@H](CC(=O)O)O,[NH3+]CC(O)CC([O-])=O,CC([NH3+])C(O)C([O-])=O,21,5
C[C@@]1(CC(=O)O)CN1,CC1(CC([O-])=O)C[NH2+]1,CC1(CC1)C([NH3+])C([O-])=O,23,16
OC(=O)CC1(N)CC1,[NH3+]C1(CC([O-])=O)CC1,CC1(CC1)C([NH2+]C([O-])=O)C1,23,15
C#CCNCC(=O)O,[O-]C(=O)C[NH2+]CC#C,[NH3+]CC#CC(C#C)C([O-])=O,20,20
O=CCNCC(=O)O,[O-]C(=O)C[NH2+]CC=O,NC(=[NH2+])CCC([O-])=O,20,15
CNC=NCC(=O)O,C[NH+]=CNCC([O-])=O,NC(=N)C(=O)CCOCC=O,19,13
N[C]NCCC(=O)O,NC=[NH+]CCC([O-])=O,CNC(CC=[NH2+])C([O-])=O,19,7
[CH2]C#C[CH2].O=C=O.N,[NH3+]CC#CCC([O-])=O,[NH3+]CC#CCC([O-])=O,20,0
CNC=NCC(=O)O,CNC=[NH+]CC([O-])=O,NC(=N)C(=O)CCOCC=O,19,14
CNCC#CC(=O)O,C[NH2+]CC#CC([O-])=O,[NH3+]CC#CC(C#C)C([O-])=O,20,8
NCCC#CC(=O)O,[NH3+]CCC#CC([O-])=O,[NH3+]CC#CC(C#C)C([O-])=O,20,5
CCCNCC(=O)O,CCC[NH2+]CC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,19,11
CCNCCC(=O)O,CC[NH2+]CCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,19,9
CNCCCC(=O)O,C[NH2+]CCCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,19,9
NCCCCC(=O)O,[NH3+]CCCCC([O-])=O,CC[NH2+]CCC(CCC([O-])=O)C([O,19,10
NCCNCC(=O)O,NCC[NH2+]CC([O-])=O,NC(C[NH2+]CCCC([O-])=O)CNC([O,19,10
NCCOCC(=O)O,[NH3+]CCOCC([O-])=O,[NH3+]CCC(O)C([O-])=O,19,3
OCCNCC(=O)O,OCC[NH2+]CC([O-])=O,[NH3+]CCC(O)C([O-])=O,19,9
CNCC(=CC=O)O,C[NH2+]CC(=O)[CH-]C=O,CCC([NH2+]CCC([O-])=O)C=O,21,11
CC#CC(=O)C(=N)N,CC#CC(=O)C(N)=N,NC(=N)C(=O)C#CCC(C)C#N,15,12
CC#C[C@H](C(=O)O)N,CC#CC([NH3+])C([O-])=O,CC([NH3+])C(C#C)C([O-])=O,22,9
NC(=N)C(=O)CC#C,NC(=N)C(=O)CC#C,NC(=N)C(=O)C#CCC(C)C#N,15,8
NC(=N)C(=O)CC#N,NC(=N)C(=O)CC#N,NC(=N)C(=O)C#NC(N)C#N,15,6
[NH][C](C(=N)N)OC=O,NC(=N)C(=N)OC=O,NC(=N)NC(=O)C1=O,15,4
NC(=N)C(=O)CC=O,NC(=N)C(=O)CC=O,NC(=N)C(=O)C(C=O)C(N)C=O,15,9
N=CNC(=O)C(=N)N,NC(=N)C(=O)NC=N,NC(=N)NC(=O)C(N)=N1,15,5
NC(=N)C(=O)NC=O,NC(=N)C(=O)NC=O,NC(=N)NC(=O)C(=O)C(N)C=O,15,9
[NH][CH]OC(=O)C(=N)N,NC(=N)C(=O)OC=N,NC(=N)C(=O)NC(=O)C(F)=N,15,8
[NH]C(=[N]=CN)C(=O)O,[O-]C(=O)C(=N)NC=[NH2+],NC1=NC(=N)C(O)=NC(O)=N1,23,16
N[C@H](C(=O)O)CC#C,[NH3+]C(CC#C)C([O-])=O,CC([NH3+])C(C#C)C([O-])=O,22,5
C[C@H](C(=O)O)N=CN,CC(NC=[NH2+])C([O-])=O,CC(N)C(=[NH2+])C([O-])=O,22,2
C[C@H](C(=O)O)N=CN,CC([NH+]=CN)C([O-])=O,CC(N)C(=[NH2+])C([O-])=O,21,9
CCCC(=O)C(=N)N,CCCC(=O)C(N)=N,CCC(C)(C)(N)=[NH2+])CCC([O-])=O,14,20
CCNC(=O)C(=N)N,CCNC(=O)C(N)=N,NC(=N)C(C)C(=O)CN1,14,10
CCOC(=O)C(=N)N,CCOC(=O)C(N)=N,NC(=N)C(=O)CC(CO)C(N)=O,14,11
COCC(=O)C(=N)N,COCC(=O)C(N)=N,NC(=N)C(=O)CC(CO)C(N)=O,14,11
NC(=N)C(=O)CCO,NC(=N)C(=O)CCO,NC(=N)C(=O)CC(CO)C(N)=O,14,9
C[C@H](C(=O)O)CCN,CC(CC[NH3+])C([O-])=O,CCC(C)C([NH3+])C([O-])=O,21,3
CCC[C@H](C(=O)O)N,CCCC([NH3+])C([O-])=O,CCC(C)C([NH3+])C([O-])=O,21,3
C[C@@H](C(=O)O)NCC,CC[NH2+]C(C)C([O-])=O,CCC([NH3+])C(C)C([O-])=O,21,4
NC=C.O=C=O.NC,C[NH2+]CC(N)C([O-])=O,C[NH2+]CC(CNC([O-])=O)C([O)=O,21,10
CNC[C@H](C(=O)O)O,C[NH2+]CC(O)C([O-])=O,CC([NH3+])C(O)C([O-])=O,21,4
COC[C@H](C(=O)O)N,COCC([NH3+])C([O-])=O,CC([NH3+])C(O)C([O-])=O,21,6
OCC[C@@H](C(=O)O)N,[NH3+]C(CCO)C([O-])=O,CC([NH3+])C(O)C([O-])=O,21,6
NCC[C@H](C(=O)O)O,[NH3+]CCC(O)C([O-])=O,CC([NH3+])C(O)C([O-])=O,21,5
NC(=N)C(=O)C(=O)C,CC(=O)C(=O)C(N)=N,NC(=N)C(=O)C(C)(C)=O,17,7
O=C(C(=N)N)C(=N)N,NC(=N)C(=O)C(N)=N,NC(=N)C(=O)C(N)C(N)=N,17,4
O=C(C(=O)N)C(=N)N,NC(=N)C(=O)C(N)=O,NC(=N)C(=O)C(N)(N)C(N)=O,17,7
C[CH]C(=[NH2])N.O=C=O,CC(C(N)=[NH2+])C([O-])=O,CNC(=[NH2+])C([O-])=O,24,4
